"","Gioco","MioVoto","Piattaforma","AnnoPubblicazione","PuntMetacritic","PuntGiocatore","Sviluppatore_1","Sviluppatore_2","genre_1","genre_2","genre_3","genre_4","NumGiudiciCritici","NumGiudiciGiocatori"
"1","Pokemon Alpha Sapphire",9.2,"3DS"," 2014","82","7.4","GameFreak",NA,"Role-Playing","Console-style RPG","Japanese-Style","Trainer","52","726"
"2","Pokemon Black Version",10,"DS"," 2011","87","7.6","GameFreak",NA,"Role-Playing","Console-style RPG",NA,"Trainer","63","627"
"3","Pokemon Black Version 2",10,"DS"," 2012","80","7.8","GameFreak",NA,"Role-Playing","Console-style RPG",NA,"Trainer","56","466"
"4","Pokemon Diamond Version",8.2,"DS"," 2007","85","8.3","GameFreak",NA,"Role-Playing","Console-style RPG",NA,"Trainer","42","494"
"5","Pokemon Emerald Version",8.7,"GameBoyAdvance"," 2005","76","8.9","GameFreak",NA,"Role-Playing","Console-style RPG",NA,NA,"28","681"
"6","Pokemon HeartGold Version",9.2,"DS"," 2010","87","9.1","GameFreak",NA,"Role-Playing","Console-style RPG",NA,"Trainer","59","867"
"7","Pokemon Moon",5.5,"3DS"," 2016","87","7.7","GameFreak",NA,"Role-Playing","Trainer",NA,NA,"84","849"
"8","Pokemon Mystery Dungeon: Blue Rescue Team",7,"DS"," 2006","62","8.1","ChunSoft",NA,"Role-Playing","Console-style RPG",NA,"Roguelike","34","162"
"9","Pokemon Platinum Version",9.2,"DS"," 2009","83","8.9","GameFreak",NA,"Role-Playing","Console-style RPG",NA,"Trainer","46","802"
"10","Pokemon Ranger",7,"DS"," 2006","69","7.3","HALLabs",NA,"Role-Playing","Action RPG",NA,NA,"21","72"
"11","Pokemon Rumble World",6.5,"3DS"," 2015","58","6.1","Ambrella","ThePokemonCompany","Action","General","Beat-'Em-Up","3D","16","83"
"12","Pokemon Ultra Moon",5.5,"3DS"," 2017","84","7.7","GameFreak",NA,"Role-Playing","Trainer",NA,NA,"55","711"
"13","Pokemon Y",7.5,"3DS"," 2013","88","7.5","GameFreak",NA,"Role-Playing","Console-style RPG",NA,"Trainer","69","1243"
"14","New Super Mario Bros.",7,"DS"," 2006","89","8.5","Nintendo",NA,"Action","Platformer",NA,"2D","65","639"
"15","Super Mario 64 DS",7,"DS"," 2004","85","8.3","Nintendo",NA,"Action","Platformer",NA,"3D","54","365"
"16","Mario Kart Wii",9.3,"Wii"," 2008","82","8.4","Nintendo",NA,"Driving","Racing","Arcade","Kart","73","982"
"18","Borderlands",6.4,"PC"," 2009","81","7.6","GearboxSoftware",NA,"Action","Shooter",NA,"First-Person","37","1676"
"20","Borderlands: The Pre-Sequel",6.4,"PC"," 2014","75","6.3","2KGames",NA,"Action","Shooter","First-Person","Sci-Fi","55","906"
"21","Sid Meier's Civilization VI",10,"PC"," 2016","88","7.0","FiraxisGames",NA,"Strategy","Turn-Based","4X",NA,"84","1285"
"23","Assassin's Creed IV: Black Flag",9,"PC"," 2013","84","7.8","Ubisoft",NA,"Action Adventure","Historic",NA,"Open-World","10","2063"
"24","Assassin's Creed Origins",8.3,"PC"," 2017","84","6.8","Ubisoft","Ubisoft","Action Adventure","Open-World",NA,NA,"29","1749"
"25","Assassin's Creed Syndicate",5,"PC"," 2015","74","6.3","Ubisoft",NA,"Historic","Action Adventure","Open-World",NA,"14","910"
"26","Farming Simulator 15",7,"PC"," 2014","64","7.4","GiantsSoftware",NA,"Simulation","General","Virtual","Career","18","88"
"27","Farming Simulator 19",7,"PC"," 2018","73","6.4","GiantsSoftware",NA,"Simulation","Virtual","Career",NA,"16","73"
"28","Star Wars: The Old Republic",5.8,"PC"," 2011","85","6.0","LucasArts","BioWare","Sci-Fi","Role-Playing","Massively Multiplayer Online","Massively Multiplayer","73","2773"
"29","Star Wars Jedi: Fallen Order",8.3,"PC"," 2019","81","7.9","RespawnEntertainment",NA,"Action","Action Adventure","General",NA,"32","1609"
"30","Battlefield V",7.2,"PC"," 2018","81","2.9","ElectronicArts",NA,"Action","Shooter","First-Person","Tactical","52","2814"
"31","FIFA 22",6.3,"PC","2021","73","2.0","ElectronicArts",NA,"Sports","Team","Soccer","Sim","4","156"
"32","FIFA 23",6.5,"PC","2022","77","1.8","ElectronicArts",NA,"Sports","Team","Soccer","Sim","5","147"
"34","Skylanders Swap Force",5.1,"3DS"," 2013","68","6.1","n-Space",NA,"Action","Platformer",NA,"3D","12","19"
"35","Skylanders Giants",7.7,"Wii"," 2012","78","6.8","ToysforBob",NA,"Action","Platformer",NA,"3D","8","29"
"38","Minecraft",8,"PC"," 2011","93","7.9","MojangAB",NA,"Action Adventure","Adventure","3D","Sandbox","33","5818"
"39","Valorant",6.8,"PC"," 2020","80","5.2","RiotGames",NA,"Action","Shooter","First-Person","Tactical","42","2919"
"40","Rocket League",6.8,"PC"," 2015","86","7.9","Psyonix",NA,"Sports","Racing","Team","Soccer","20","1110"
"41","Star Wars Jedi: Survivor",8.1,"PC","2023","78","3.4","ElectronicArts",NA,"Action Adventure",NA,NA,NA,"26","217"
"42","Elden Ring",9.1,"PC","2022","94","7.0","FromSoftware",NA,"Action RPG",NA,NA,NA,"63","2137"
"43","SCARLET NEXUS",8.3,"PC","2021","80","7.8","BandaiNamcoGames",NA,"Action RPG",NA,NA,NA,"26","55"
"44","League of Legends",4,"PC"," 2009","78","5.3","RiotGames",NA,"Role-Playing","Strategy","Action RPG","Real-Time","37","3792"
"45","Dark Souls",8.2,"PlayStation3"," 2011","89","8.9","FromSoftware",NA,"Role-Playing","Action RPG",NA,NA,"54","2017"
"46","Dark Souls III",9.8,"PC"," 2016","89","8.4","FromSoftware",NA,"Role-Playing","Action RPG",NA,NA,"56","3141"
